Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
Anandpuri,25.5737956,85.08420981,-83.91531145,0,1.45778921,123.2645539,LTE,-86.70728515,-93.04654847,-82.98096941
Ashok Rajpath,25.53678435,85.16977848,-84.60687974,0,4.818692461,88.01449116,4G,-88.23578268,-91.93032908,-86.3156685
Danapur,25.54275654,85.06531043,-101.8595057,0,51.35020916,41.40066175,5G,-97.93865883,-107.0828323,-100.1380854
Boring Road,25.43272611,85.1893398,-89.84068419,0,1.300338002,173.7433769,3G,0,0,0
Pataliputra,25.53673129,85.21687169,-100.3833047,0,59.46544393,43.22137826,5G,-104.6961763,-108.2618202,-102.8875987
Gandhi Maidan,25.51954989,85.29046675,-97.11452333,0,1.585644073,197.9970329,LTE,-96.09570744,-104.20241,-95.62608426
S.K. Puri,25.61433941,85.13663475,-88.78349532,0,8.925600371,95.94632668,4G,-91.26108512,-95.00828567,-89.02025833
Boring Canal Road,25.6573561,84.99817029,-93.6705076,0,53.95547171,16.02704431,5G,-95.24667124,-101.6034254,-92.12139753
Pataliputra,25.50161514,84.99668892,-79.99028649,0,2.231970901,118.8024735,3G,0,0,0
Boring Road,25.65507162,85.22029899,-93.02664235,0,52.32871487,30.08200854,5G,-96.77950178,-101.0997629,-92.16645127
Fraser Road,25.51607436,85.04042659,-90.87896121,0,2.405886882,105.280396,LTE,-91.01298459,-97.88211639,-90.26608735
Anandpuri,25.60835341,85.0949815,-96.58410881,0,99.85127603,47.32453325,5G,-95.15845681,-104.4778685,-95.76704462
Gandhi Maidan,25.46506129,85.06039746,-89.43645501,0,5.091079015,97.03396226,4G,-91.84348742,-97.28817095,-87.20007351
Phulwari Sharif,25.54169399,85.17626392,-97.07375746,0,2.313910313,195.6614621,LTE,-101.3841773,-106.7884839,-98.38063501
Anisabad,25.48291241,85.20709278,-95.7541781,0,75.92038587,31.93282335,5G,-99.47429602,-101.3435,-96.39349102
Rajendra Nagar,25.6048948,85.20664528,-90.94799668,0,3.621881716,84.18770528,4G,-90.4969414,-96.04541257,-92.58353971
Bankipore,25.43246496,85.17892521,-98.55380052,0,56.12523839,42.25614469,5G,-98.96140174,-108.2940176,-96.83613132
Anisabad,25.56349209,85.1834621,-89.70491957,0,2.077403596,149.7812508,LTE,-93.65018257,-96.42101904,-87.7723006
Danapur,25.53871436,85.08970743,-85.79664051,0,2.967042945,114.0711528,3G,0,0,0
Pataliputra,25.69621051,85.1357252,-88.06629805,0,5.992427815,58.11167029,4G,-92.94022285,-95.26751963,-87.90190031
Kumhrar,25.53727631,85.27106724,-84.81202181,0,1.670416095,117.3761593,LTE,-82.69188161,-90.68213075,-87.20819694
Exhibition Road,25.71537935,85.23332479,-95.11434031,0,71.7694477,12.78564593,5G,-98.36552594,-100.835654,-96.75126297
Boring Canal Road,25.6292529,85.11166889,-93.63651103,0,60.43965679,14.43957877,5G,-94.16595559,-101.3347197,-91.44912938
Boring Canal Road,25.75766443,85.11881244,-87.39847285,0,8.086696944,65.23755477,4G,-84.1045262,-95.99086685,-85.16194981
Patliputra Colony,25.71478792,85.02029445,-82.29259233,0,1.370660359,107.8969162,3G,0,0,0
Kankarbagh,25.61610915,85.11373098,-89.14219666,0,9.152852302,78.5886176,4G,-88.96773315,-96.99005961,-90.24051714
Rajendra Nagar,25.60056943,85.2024887,-81.31622913,0,2.901062105,160.0651067,LTE,-78.88028997,-88.78489883,-80.51160494
Ashok Rajpath,25.475462,85.15693454,-85.52765744,0,2.033145257,100.5505799,3G,0,0,0
Patliputra Colony,25.69079035,85.19651214,-84.60358984,0,2.759725355,157.4779554,3G,0,0,0
Anisabad,25.57481023,85.04163503,-84.67753186,0,2.642396565,100.1565105,LTE,-83.31351816,-94.42185495,-86.13188854
Kankarbagh,25.46133584,85.21875694,-88.27119723,0,2.187321582,101.0131184,3G,0,0,0
Danapur,25.49687152,85.14617449,-80.76720286,0,1.798737497,191.0134637,3G,0,0,0
Kankarbagh,25.54463272,85.244696,-90.31308266,0,2.051625198,151.1681387,LTE,-93.65679918,-97.0843801,-93.04441195
Pataliputra,25.62302961,85.18821531,-91.38243806,0,6.399127898,51.37683599,4G,-91.32788688,-96.56235102,-92.07719778
Patliputra Colony,25.5523205,85.10439583,-96.15866608,0,5.38270973,77.07038037,4G,-99.61721565,-103.3901087,-95.9084372
Anandpuri,25.62249227,85.07392712,-95.94510812,0,1.803557601,199.3848389,LTE,-92.1419605,-102.8280783,-95.52884395
Anandpuri,25.44630281,85.09027242,-86.99645624,0,2.754181162,194.4042094,3G,0,0,0
Kankarbagh,25.68475962,85.03551551,-86.50732228,0,6.19185493,72.17279182,4G,-85.48615242,-93.55028848,-84.66778622
Exhibition Road,25.72139463,85.07412697,-81.04102784,0,2.288940554,181.9797805,LTE,-82.70695462,-87.37577189,-80.86955918
Bailey Road,25.60884073,84.99252394,-88.15971757,0,2.400068546,110.440413,LTE,-89.16871569,-94.54397014,-89.47771081
Gardanibagh,25.57711757,85.07126743,-93.99211935,0,1.562008998,180.3482743,LTE,-89.69983881,-101.9666059,-91.55545334
Anisabad,25.49075348,85.07572064,-93.05372536,0,2.109314696,163.7090837,LTE,-92.79094076,-100.7378618,-94.64580471
Bailey Road,25.46761853,85.05339119,-87.57534982,0,1.203784776,136.0233919,3G,0,0,0
Anandpuri,25.71633659,85.08024013,-81.62323669,0,2.407714183,100.436327,3G,0,0,0
Bankipore,25.69797652,85.10869081,-90.29213392,0,1.221955049,163.4424145,LTE,-87.58432774,-100.2777277,-88.13839381
Kidwaipuri,25.65793638,85.21149341,-89.44140716,0,21.31518421,39.48386202,5G,-84.69548905,-99.18041402,-88.34824388
Pataliputra,25.73769711,85.08978857,-107.8116683,0,57.78439106,33.805267,5G,-112.7124301,-115.4911925,-105.0306728
Ashok Rajpath,25.53560512,85.24075494,-85.57308329,0,2.546283748,151.7960528,3G,0,0,0
Kumhrar,25.65069761,85.09618269,-87.22940279,0,1.968154139,174.7444407,3G,0,0,0
Rajendra Nagar,25.62182009,84.99856976,-87.39100841,0,1.55247465,198.1653324,3G,0,0,0
Boring Canal Road,25.53923593,84.99878318,-94.35632046,0,9.705538847,76.4829862,4G,-96.93738752,-101.8533026,-93.27859847
Phulwari Sharif,25.70715135,85.22980767,-90.6232859,0,2.902859621,199.4819294,LTE,-88.50605784,-95.71756724,-90.20604722
Bankipore,25.52260743,85.14804998,-94.22988477,0,1.916469301,178.1348841,LTE,-89.62820692,-100.4119894,-92.09864286
Rajendra Nagar,25.56363065,85.14127616,-87.24943422,0,1.000885563,190.1383097,3G,0,0,0
S.K. Puri,25.49421789,85.08762015,-94.84468772,0,4.34115062,95.91195433,4G,-98.82665089,-102.3148982,-96.51957102
Boring Road,25.53242154,85.166575,-91.3461794,0,95.18108618,45.7023291,5G,-92.15169947,-97.44435189,-91.488165
Bailey Road,25.61702364,84.98613606,-93.80871523,0,2.751766167,153.9094553,LTE,-95.98399096,-101.6825743,-96.58328868
Boring Road,25.586653,84.9914685,-83.7320348,0,2.518137879,160.9631012,3G,0,0,0
Phulwari Sharif,25.66923069,85.26897517,-103.7419083,0,66.55906427,29.27469917,5G,-105.1248057,-108.9958651,-102.9489513
Phulwari Sharif,25.69314647,85.02043053,-84.60071879,0,1.061715809,105.18953,3G,0,0,0
Boring Road,25.60923078,85.11342237,-88.05548924,0,2.686556182,109.7514326,LTE,-87.4656829,-95.55004984,-86.81833014
Pataliputra,25.43174356,85.13605401,-85.00841617,0,1.500935798,162.48741,LTE,-84.29095634,-90.84426428,-82.5718938
Danapur,25.53897052,85.20788974,-82.74662419,0,5.3271931,52.82928281,4G,-84.00741372,-88.02438128,-81.89621781
Anisabad,25.63281464,85.26912925,-86.97229647,0,1.795224757,126.4276263,3G,0,0,0
Fraser Road,25.44939229,85.17667766,-101.4979062,0,11.35996158,48.60061478,5G,-103.9889757,-108.1177747,-100.258127
Gandhi Maidan,25.48257977,85.02579244,-86.68107033,0,7.760783198,70.40758454,4G,-91.52712141,-93.76644004,-88.16246109
Gardanibagh,25.43681077,85.20681694,-94.72989637,0,49.4546482,49.85049146,5G,-97.43817686,-101.9955165,-93.70584322
Danapur,25.47916056,85.05969481,-84.61333671,0,9.660434971,91.92459169,4G,-81.56243352,-90.49841768,-82.01707366
Kidwaipuri,25.73810537,85.05274925,-81.6791057,0,1.908690846,163.0247219,3G,0,0,0
Bankipore,25.48146874,85.15943375,-87.43525335,0,2.854221258,110.5393218,LTE,-84.79084607,-95.38689808,-86.50421106
Pataliputra,25.59412706,85.2376185,-96.49171032,0,2.485061666,107.6635806,LTE,-92.7653523,-102.3511262,-98.19534963
Phulwari Sharif,25.52031318,84.98831235,-83.9397074,0,1.68956284,146.1843481,3G,0,0,0
Boring Road,25.51962605,85.24684523,-92.83831942,0,3.737418391,61.11806524,4G,-92.64607371,-99.799556,-94.36620553
Bailey Road,25.47587389,85.07697723,-88.77551473,0,2.065008133,111.5394642,3G,0,0,0
Kankarbagh,25.54749882,85.14520467,-96.31278117,0,74.31771474,45.2625382,5G,-93.99961597,-102.8264041,-94.7969514
Gandhi Maidan,25.61896646,85.22953134,-88.54373189,0,2.754700906,138.9404939,LTE,-88.12612224,-93.70340283,-91.14434352
Kankarbagh,25.57323007,85.01695688,-87.67426992,0,5.65458576,91.56838531,4G,-84.25101488,-95.80806414,-86.88233784
S.K. Puri,25.61919915,85.2072815,-90.81294432,0,1.781510305,115.8678874,LTE,-93.23063412,-97.78588553,-91.21396565
Gardanibagh,25.42305446,85.13000794,-84.61310002,0,22.02855233,27.75436754,5G,-85.10533718,-89.82061084,-85.02657885
Ashok Rajpath,25.71550536,85.12481844,-84.31486807,0,1.176769894,169.8948828,LTE,-85.63139593,-92.15313694,-87.12797351
Ashok Rajpath,25.6537666,84.99409718,-82.72963396,0,2.716046542,199.7628297,3G,0,0,0
Exhibition Road,25.61447487,85.12582574,-83.16259362,0,2.524605249,103.8938017,3G,0,0,0
Bailey Road,25.60893643,85.24872236,-96.57203006,0,43.43373493,34.74108235,5G,-95.24130352,-104.2256039,-96.91367388
Danapur,25.54539612,84.99640277,-82.12513471,0,1.139601309,155.468771,3G,0,0,0
Pataliputra,25.54645826,85.02616324,-93.92104471,0,5.813210399,57.68455214,4G,-93.19497238,-102.5359821,-91.39319963
Bankipore,25.64974125,85.29733764,-75.8141591,0,2.600146864,188.4583293,3G,0,0,0
Boring Road,25.49992392,85.10576754,-90.70709665,0,4.879935172,55.04890534,4G,-94.03218576,-99.97071883,-87.86863586
Boring Canal Road,25.69161328,85.26649775,-96.1944732,0,1.152959911,198.6729102,LTE,-98.48081356,-105.7015586,-94.21858779
Bankipore,25.4817809,85.16762163,-83.11025541,0,2.983545762,166.4201713,3G,0,0,0
Fraser Road,25.66285138,85.05427522,-98.15772599,0,3.86262803,84.92653126,4G,-98.99627232,-105.5884723,-95.73793791
Kidwaipuri,25.63396581,85.0860071,-87.72595089,0,1.36567556,182.5710952,3G,0,0,0
Ashok Rajpath,25.68629623,85.1379785,-98.57524091,0,64.02533145,12.14057852,5G,-99.80993804,-107.4149622,-99.98302025
Pataliputra,25.54764859,84.98664666,-108.7375242,0,63.72196215,49.98230813,5G,-106.0430353,-116.7481957,-106.7722059
Kidwaipuri,25.64523208,84.96567173,-97.49865088,0,50.41348911,19.49914227,5G,-102.0025071,-103.8756594,-99.82909288
Boring Canal Road,25.69640763,85.18276457,-86.29637113,0,1.175097328,128.2801131,3G,0,0,0
Anandpuri,25.58249756,84.96896589,-83.74152104,0,9.390517033,66.98851211,4G,-84.18532947,-90.35095188,-83.48339245
Gardanibagh,25.59868649,85.21042248,-94.38160361,0,2.936152763,144.6714527,LTE,-94.36642401,-103.1483105,-94.5558421
Fraser Road,25.49074027,85.26783589,-88.80643261,0,2.818350528,131.3878077,LTE,-86.89587449,-97.44826671,-90.66277362
Exhibition Road,25.72665706,85.07679802,-89.73274047,0,2.399379818,141.0857092,LTE,-89.12694238,-95.01944458,-92.23633623
Bankipore,25.59225498,84.97794601,-85.6923087,0,2.876631457,181.8740229,LTE,-80.85663663,-94.3939545,-82.8739669
Bailey Road,25.55583045,85.12319117,-85.20483287,0,1.964264198,184.090871,3G,0,0,0
Patliputra Colony,25.50052969,85.06809442,-99.25685225,0,52.80365726,26.3099242,5G,-102.6446641,-105.9748042,-96.42994681
Kankarbagh,25.57762774,85.1728049,-89.11502109,0,1.211748636,135.4897683,3G,0,0,0
Kidwaipuri,25.65779911,85.08227684,-92.83776401,0,1.929226338,137.9616764,LTE,-94.67189641,-101.409266,-95.28951938
Ashok Rajpath,25.47782498,85.18898669,-83.248971,0,37.76214533,32.92168802,5G,-84.99685904,-93.05262393,-84.61697937
Bankipore,25.45844738,85.17756298,-100.6573293,0,3.180387191,80.17644033,4G,-99.06226947,-107.2171015,-102.9350038
Boring Road,25.65068522,85.14352068,-91.84006864,0,3.537652087,61.74971388,4G,-88.53855881,-97.09881096,-93.01245451
Kankarbagh,25.56523602,85.05291983,-93.81023249,0,1.795368829,197.3800413,LTE,-93.36824587,-102.4340366,-92.5535993
Boring Canal Road,25.56104848,85.27593282,-91.61320239,0,14.61644641,29.70141523,5G,-92.19213204,-99.9411965,-92.2457685
Patliputra Colony,25.52227387,85.25475595,-93.10013676,0,4.354047401,82.07522406,4G,-95.50185538,-98.66970621,-90.72599709
Gardanibagh,25.62761903,85.13543965,-83.1843289,0,2.155614101,186.6101545,3G,0,0,0
Anandpuri,25.7515171,85.17816427,-81.65370011,0,1.98446463,119.500898,3G,0,0,0
Bailey Road,25.75317323,85.07911715,-82.79313401,0,1.858124739,127.5922694,3G,0,0,0
Fraser Road,25.49007193,85.15172022,-82.87280436,0,5.879622,56.31932112,4G,-87.59436529,-89.75914295,-81.03225898
Gandhi Maidan,25.70930744,85.19127774,-88.49471289,0,4.054812409,92.57971597,4G,-83.58017721,-94.86051874,-86.7860948
Gardanibagh,25.70862172,85.25558347,-88.75513641,0,3.94203387,54.72094488,4G,-85.43995308,-94.1631487,-87.85640813
Kidwaipuri,25.64505469,85.01405377,-87.90879823,0,44.98537131,19.61196494,5G,-91.95914547,-96.334206,-90.32892922
Bankipore,25.66166779,85.21252472,-102.9440924,0,76.46552907,36.6646834,5G,-106.7484724,-110.0808781,-104.4036314
Anisabad,25.53557274,85.14555815,-90.3929291,0,68.6710779,43.29668734,5G,-85.63819881,-98.02210762,-92.99276581
Bankipore,25.57071459,85.06285923,-93.01565412,0,5.361119855,97.07884264,4G,-92.71851446,-99.35371188,-90.47100782
Kidwaipuri,25.69627041,85.17957239,-95.00573395,0,19.57035676,14.56559877,5G,-90.59525134,-100.6424586,-95.29321436
Anandpuri,25.50319604,85.12305089,-92.88827197,0,5.810232454,66.90422047,4G,-96.62003175,-100.9295597,-94.91230708
Kankarbagh,25.6765687,85.24868357,-93.08294824,0,1.302891044,143.2771484,LTE,-92.12615,-102.6798712,-90.4455367
Gandhi Maidan,25.67234351,85.29643869,-91.76118715,0,7.223339373,90.08421466,4G,-92.06600049,-99.64790698,-88.78736015
Fraser Road,25.52044021,85.04391314,-85.53226131,0,2.504257399,190.5538838,3G,0,0,0
Rajendra Nagar,25.53131416,85.17466495,-101.7776475,0,66.30857105,32.86430598,5G,-104.9292635,-111.479712,-101.1514916
Fraser Road,25.653167,85.04341277,-90.92593994,0,1.051618786,155.329064,LTE,-90.7214459,-95.95303,-92.71488893
Patliputra Colony,25.68067989,85.18322428,-90.04804829,0,2.968063029,179.6484389,LTE,-87.48046739,-96.64525748,-92.05159918
Bankipore,25.65571292,85.18143898,-94.73840726,0,96.68431244,14.59014398,5G,-94.83432207,-103.8908868,-97.432558
Danapur,25.62006755,85.29929909,-83.5275145,0,2.261434889,173.9682898,3G,0,0,0
Anandpuri,25.7125437,85.27231838,-96.92013496,0,1.255140349,140.9085149,LTE,-98.37636313,-105.4059855,-95.53485722
Bankipore,25.58464382,85.27220591,-79.3501727,0,2.489473456,141.240306,3G,0,0,0
Boring Canal Road,25.58482694,85.04201283,-87.03658538,0,1.257192972,157.3850598,3G,0,0,0
Pataliputra,25.64533957,85.00856535,-96.55675713,0,65.04817775,21.8299025,5G,-98.99932012,-104.9196523,-98.56903405
Gandhi Maidan,25.73025499,85.15013303,-80.98923869,0,2.597311561,193.2752939,3G,0,0,0
Gandhi Maidan,25.64866655,85.20199985,-81.45230282,0,1.418911539,141.6262781,3G,0,0,0
Phulwari Sharif,25.63452051,85.19464363,-93.94321523,0,2.343417718,172.93098,LTE,-93.1926095,-102.9091258,-93.91647958
Exhibition Road,25.50231827,85.02440174,-91.13662039,0,5.374684628,53.12156636,4G,-91.27488385,-100.5915523,-92.64538147
Gandhi Maidan,25.51663541,85.03678828,-93.20682017,0,3.445793373,58.85635721,4G,-98.15542389,-100.9797726,-95.70128791
Anisabad,25.62956354,85.31000594,-100.2997504,0,44.5057427,16.73114354,5G,-96.93532847,-107.5552022,-102.1645756
Gardanibagh,25.63199673,85.12822851,-96.92119009,0,72.56687196,35.1851338,5G,-93.28634401,-106.2597504,-94.05565033
Kumhrar,25.48241938,85.156004,-83.43457378,0,2.326292498,159.536637,3G,0,0,0
Kumhrar,25.68565177,85.13854558,-102.0455346,0,10.02043344,46.60006151,5G,-98.60674053,-108.3340735,-104.0386471
